STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
26,11910,2611910,Delton-Kellogg School District,00,KG,12,G5420,,E,273777606,29666200,+42.5060679,-085.4172287
26,11970,2611970,DeTour Area Schools,00,KG,12,G5420,,E,588297383,1209454945,+45.9563283,-083.8350977
26,12000,2612000,Detroit City School District,00,PK,12,G5420,,E,359546712,10745113,+42.3830375,-083.1022365
26,12030,2612030,Dexter Community School District,00,KG,12,G5420,,E,211860179,6057385,+42.3620182,-083.8843371
26,12150,2612150,Dowagiac Union Schools,00,KG,12,G5420,,E,299201081,13045912,+42.0153845,-086.1267355
26,12240,2612240,Dryden Community Schools,00,KG,12,G5420,,E,88718209,2318939,+42.9375613,-083.1740106
26,12300,2612300,Dundee Community Schools,00,KG,12,G5420,,E,188018730,1500997,+41.9811201,-083.6401908
26,12330,2612330,Durand Area Schools,00,PK,12,G5420,,E,163262797,2260264,+42.9159494,-083.9932607
26,12420,2612420,East China School District,00,KG,12,G5420,,E,323208606,13054948,+42.7800288,-082.5687813
26,12450,2612450,East Detroit Public Schools,00,KG,12,G5420,,E,15850307,5331,+42.4660175,-082.9553717
26,12480,2612480,East Grand Rapids Public School District,00,KG,12,G5420,,E,8402865,1212235,+42.9465811,-085.6067625
26,12540,2612540,East Jackson Community Schools,00,KG,12,G5420,,E,87407845,3961928,+42.2996165,-084.3027838
26,12560,2612560,East Jordan Public Schools,00,KG,12,G5420,,E,273802381,25660831,+45.1452189,-085.1162046
26,12600,2612600,East Lansing School District,00,PK,12,G5420,,E,36485092,219902,+42.7364314,-084.4800042
26,12690,2612690,Eaton Rapids Public Schools,00,KG,12,G5420,,E,307428339,2816508,+42.5157665,-084.6579405
26,12810,2612810,Eau Claire Public Schools,00,KG,12,G5420,,E,126862284,2695441,+42.0152442,-086.2917599
26,12930,2612930,Ecorse Public School District,00,KG,12,G5420,,E,6890213,2244925,+42.2495635,-083.1403182
26,12960,2612960,Montabella Community Schools,00,KG,12,G5420,,E,379588686,2717678,+43.4623906,-085.0332702
26,12990,2612990,Edwardsburg Public Schools,00,KG,12,G5420,,E,158698484,6891545,+41.7863685,-086.0574795
26,13050,2613050,Elk Rapids Schools,00,KG,12,G5420,,E,259297216,75374420,+44.8472155,-085.3637973
26,13090,2613090,Elkton-Pigeon-Bay Port Schools,00,KG,12,G5420,,E,510214758,1464297,+43.8389935,-083.2110774
26,13110,2613110,Ellsworth Community Schools,00,KG,12,G5420,,E,115578421,2708007,+45.1668966,-085.2920719
26,13500,2613500,Escanaba Area Public Schools,00,KG,12,G5420,,E,467933862,51790463,+45.7797541,-087.2121808
26,13530,2613530,Essexville-Hampton Public Schools,00,KG,12,G5420,,E,47805975,14338408,+43.6195302,-083.7899930
26,13560,2613560,Evart Public Schools,00,KG,12,G5420,,E,510161857,9980904,+43.9181261,-085.2328170
26,14070,2614070,Farmington Public School District,00,PK,12,G5420,,E,89888215,58353,+42.4856480,-083.3759608
26,14100,2614100,Farwell Area Schools,00,KG,12,G5420,,E,463520666,14810099,+43.8797383,-084.9310104
26,14230,2614230,Fennville Public Schools,00,PK,12,G5420,,E,290310346,5234652,+42.5558426,-086.1072802
26,14250,2614250,Fenton Area Public Schools,00,PK,12,G5420,,E,90722904,5974087,+42.7531413,-083.7151430
26,14280,2614280,Ferndale Public Schools,00,KG,12,G5420,,E,12008540,0,+42.4605498,-083.1432804
26,14460,2614460,Fitzgerald Public Schools,00,KG,12,G5420,,E,12000376,0,+42.4621485,-083.0638435
26,14520,2614520,Flint City School District,00,PK,12,G5420,,E,77683561,1150028,+43.0289175,-083.6876886
26,14550,2614550,Flushing Community Schools,00,PK,12,G5420,,E,140081729,1550220,+43.0677598,-083.8583082
26,14570,2614570,Forest Area Community Schools,00,KG,12,G5420,,E,293315305,5790672,+44.5911673,-085.3024312
26,14610,2614610,Forest Hills Public Schools,00,KG,12,G5420,,E,153133086,4305516,+42.9579957,-085.5183449
26,14690,2614690,Gwinn Area Community Schools,00,KG,12,G5420,,E,906847755,15317793,+46.3181777,-087.3730336
26,14700,2614700,Fowler Public Schools,00,PK,12,G5420,,E,138765888,478663,+43.0205233,-084.7346032
26,14730,2614730,Fowlerville Community Schools,00,KG,12,G5420,,E,301019150,1633037,+42.6563711,-084.0859905
26,14760,2614760,Frankenmuth School District,00,KG,12,G5420,,E,174696614,664911,+43.3575621,-083.7485103
26,14790,2614790,Frankfort-Elberta Area Schools,00,KG,12,G5420,,E,99879786,1312787659,+44.6636776,-086.2575003
26,14820,2614820,Fraser Public Schools,00,KG,12,G5420,,E,20999205,94094,+42.5489887,-082.9476608
26,15060,2615060,Freeland Community School District,00,PK,12,G5420,,E,119362424,1342646,+43.5141536,-084.1060875
26,15090,2615090,Free Soil Community Schools,00,KG,12,G5420,,E,202706997,1305958,+44.1230503,-086.1735606
26,15150,2615150,Fremont Public School District,00,KG,12,G5420,,E,377172990,16825049,+43.4657578,-085.9515969
26,15390,2615390,Fruitport Community Schools,00,PK,12,G5420,,E,123373153,1325917,+43.1431772,-086.1361298
26,15420,2615420,Fulton Schools,00,PK,12,G5420,,E,267093027,3049375,+43.1566529,-084.6738053
26,15450,2615450,Galesburg-Augusta Community School District,00,KG,12,G5420,,E,133768129,4617823,+42.2889450,-085.3831665
26,15480,2615480,Galien Township School District,00,KG,12,G5420,,E,127928887,1173329,+41.7995913,-086.4799782
26,15540,2615540,Garden City School District,00,KG,12,G5420,,E,15355395,0,+42.3245054,-083.3412792
26,15600,2615600,Engadine Consolidated Schools,00,KG,12,G5420,,E,1127652353,1445423780,+46.0700510,-085.2907193
26,15730,2615730,Gaylord Community Schools,00,KG,12,G5420,,E,700990748,20623423,+44.9957979,-084.7205910
26,15750,2615750,Genesee School District,00,PK,12,G5420,,E,14406580,1233940,+43.1281061,-083.6075036
26,15830,2615830,Gerrish-Higgins School District,00,KG,12,G5420,,E,828244338,61554921,+44.4818178,-084.5299114
26,15870,2615870,Gibraltar School District,00,PK,12,G5420,,E,40927721,24226757,+42.0759287,-083.2004101
26,15970,2615970,Gladstone Area Schools,00,KG,12,G5420,,E,229250194,13900422,+45.8624502,-087.1328319
26,15990,2615990,Gladwin Community Schools,00,KG,12,G5420,,E,559259300,14864935,+44.0394656,-084.4792314
26,16020,2616020,Glen Lake Community Schools,00,KG,12,G5420,,E,395332686,1948293990,+45.0097693,-086.1362990
26,16050,2616050,Gobles Public School District,00,KG,12,G5420,,E,142786266,3913292,+42.3519652,-085.8372996
26,16080,2616080,Godfrey-Lee Public Schools,00,PK,12,G5420,,E,3583018,117450,+42.9323526,-085.6977639
26,16110,2616110,Godwin Heights Public Schools,00,PK,12,G5420,,E,9639164,0,+42.8988684,-085.6653431
26,16320,2616320,Goodrich Area Schools,00,KG,12,G5420,,E,120085849,5309864,+42.9155298,-083.4997755
26,16350,2616350,Grand Blanc Community Schools,00,KG,12,G5420,,E,100239875,637173,+42.9193699,-083.6364015
26,16380,2616380,Grand Haven Area Public Schools,00,PK,12,G5420,,E,222384065,9731186,+43.0117240,-086.1618229
26,16410,2616410,Grand Ledge Public Schools,00,PK,12,G5420,,E,307686944,2818366,+42.7632956,-084.7524595
26,16440,2616440,Grand Rapids Public Schools,00,PK,12,G5420,,E,109367989,2230185,+42.9641316,-085.6585188
26,16470,2616470,Grandville Public Schools,00,KG,12,G5420,,E,99924556,3807530,+42.9198409,-085.7771811
26,16500,2616500,Grant Public School District,00,PK,12,G5420,,E,299348779,5221624,+43.3255518,-085.8055530
26,16830,2616830,Grass Lake Community Schools,00,PK,12,G5420,,E,161807024,5819203,+42.2678971,-084.1965959
26,17160,2617160,Greenville Public Schools,00,KG,12,G5420,,E,332999470,15307302,+43.1923965,-085.2650715
26,17220,2617220,Grosse Ile Township Schools,00,KG,12,G5420,,E,23889863,24459691,+42.1298962,-083.1507699
26,17250,2617250,Gull Lake Community Schools,00,KG,12,G5420,,E,262984104,14657234,+42.3832742,-085.3889820
26,17370,2617370,Hale Area Schools,00,KG,12,G5420,,E,390161955,15265729,+44.3957580,-083.8148385
26,17400,2617400,Hamilton Community Schools,00,KG,12,G5420,,E,330135740,2800814,+42.6969367,-086.0088921
26,17520,2617520,Hamtramck Public Schools,00,KG,12,G5420,,E,5401831,0,+42.3953866,-083.0559508
26,17550,2617550,Hancock Public Schools,00,KG,12,G5420,,E,108702023,737720380,+47.2296976,-088.6216571
26,17640,2617640,Hanover-Horton Schools,00,KG,12,G5420,,E,163173687,6101976,+42.1087782,-084.5042835
26,17700,2617700,Harbor Springs School District,00,KG,12,G5420,,E,297649313,1016179,+45.5218751,-084.9907770
26,17730,2617730,Harper Creek Community Schools,00,KG,12,G5420,,E,192054518,3223274,+42.2490453,-085.1279426
26,17760,2617760,Harper Woods City Schools,00,KG,12,G5420,,E,4546195,0,+42.4366901,-082.9334390
26,17820,2617820,Harrison Community Schools,00,KG,12,G5420,,E,631022264,9605863,+44.0501896,-084.7841687
26,17860,2617860,Hart Public School District,00,KG,12,G5420,,E,358566574,494474209,+43.6512491,-086.5389118
26,17880,2617880,Hartford Public School District,00,KG,12,G5420,,E,141377100,2436896,+42.1819476,-086.1629444
26,17910,2617910,Hartland Consolidated Schools,00,KG,12,G5420,,E,236003952,6974676,+42.6626145,-083.7718750
26,17940,2617940,Haslett Public Schools,00,KG,12,G5420,,E,49906325,2416139,+42.7631383,-084.3793607
26,17970,2617970,Hastings Area School District,00,PK,12,G5420,,E,439949181,11397688,+42.5918963,-085.2802110
26,18030,2618030,Hazel Park City School District,00,PK,12,G5420,,E,9740544,0,+42.4622243,-083.1024313
26,18180,2618180,Hemlock Public School District,00,PK,12,G5420,,E,218612062,3021564,+43.4260469,-084.2140511
26,18270,2618270,Hesperia Community Schools,00,KG,12,G5420,,E,308004277,29904073,+43.6136772,-086.0544746
