favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,WVDE Twitbot,All schools in #Nicholas Co on a 2-hr delay Mon 2/4/13 due to Bad Weather!,,False,Sun Feb 03 23:12:59 +0000 2013,12,298207484743675905
0,WVDE Twitbot,Pratt Elementary School in #Kanawha Co closing @ 10:30 Mon 8/19/13 due to Water Main Break,,False,Mon Aug 19 13:35:45 +0000 2013,2,369452629920714752
0,WVDE Twitbot,Elk Garden School in #Mineral Co on a 2-hr delay Thu 11/1/12  #WVSandy,,False,Thu Nov 01 02:28:45 +0000 2012,2,263829903286353920
8,WVDE Twitbot,Greenbrier: Seneca Trail Christian Academy closing @ 1:30 Tue 1/16/18 due to Weather,,False,Tue Jan 16 17:15:07 +0000 2018,0,953314683888570369
3,WVDE Twitbot,All schools in #McDowell Co on a 2-hr delay Fri 1/9/15,,False,Thu Jan 08 23:49:36 +0000 2015,3,553337755699531776
29,WVDE Twitbot,All schools in #Logan Co on a 2-hr delay Mon 3/17/14,,False,Mon Mar 17 01:45:47 +0000 2014,39,445375409752793088
0,WVDE Twitbot,UPDATE: All schools in #Calhoun Co now on a 2-hr delay Tue 1/22/13 due to Frigid Morning Temperatures,,False,Tue Jan 22 02:48:59 +0000 2013,0,293550801765421057
4,WVDE Twitbot,All schools in #Doddridge Co closed Fri 1/5/18 due to frigid wind chills and temperatures code C,,False,Thu Jan 04 20:04:21 +0000 2018,8,949008622536810496
63,WVDE Twitbot,All schools in #Cabell Co closed Tue 2/17/15 due to inclement weather code red,,False,Mon Feb 16 22:07:56 +0000 2015,70,567445298898026497
1,WVDE Twitbot,Elk Garden School in #Mineral Co on a 2-hr delay Fri 1/27/17 due to secondary road conditions,,False,Fri Jan 27 10:20:05 +0000 2017,1,824924935546077184
4,WVDE Twitbot,All schools in #Pendleton Co on a 2-hr delay Tue 1/9/18,,False,Tue Jan 09 10:00:00 +0000 2018,3,950668470156431360
46,WVDE Twitbot,All schools in #Fayette Co on a 2-hr delay Wed 12/13/17 due to inclement weather,,False,Tue Dec 12 22:05:16 +0000 2017,39,940704130624118786
6,WVDE Twitbot,All schools in #Fayette Co closed Tue 1/7/14 due to inclement weather,,False,Mon Jan 06 20:58:59 +0000 2014,16,420298471631900672
7,WVDE Twitbot,All schools in #Monroe Co closed Wed 1/8/14,,False,Tue Jan 07 21:41:38 +0000 2014,20,420671595674222593
24,WVDE Twitbot,All schools in #Mercer Co closed Fri 1/22/16 due to the impending weather forecast,,False,Thu Jan 21 18:50:01 +0000 2016,45,690244977067180033
3,WVDE Twitbot,UPDATE: Ansted Elementary in #Fayette Co now closed Tue 1/30/18,,False,Tue Jan 30 11:39:40 +0000 2018,0,958303696496025600
9,WVDE Twitbot,All schools in #Doddridge Co on a 2-hr delay Fri 12/16/16 due to frigid temperatures Staff report at normal time,,False,Fri Dec 16 00:19:31 +0000 2016,13,809553508089397249
0,WVDE Twitbot,Omar Elementary in #Logan Co on a 2-hr delay Thu 1/9/14,,False,Wed Jan 08 23:19:04 +0000 2014,0,421058501553565696
3,WVDE Twitbot,UPDATE: All schools in #Tucker Co now on a 2-hr delay Fri 2/22/13,,False,Fri Feb 22 10:46:08 +0000 2013,2,304904905393586176
236,WVDE Twitbot,All schools in #Kanawha Co closed Mon 2/15/16 due to Inclement Weather code B,,False,Mon Feb 15 00:10:08 +0000 2016,416,699022845016408065
0,WVDE Twitbot,Marion County Technical Center in #Marion Co on a 2-hr delay Fri 2/15/13 due to SCHEDULED POWER OUTAGE,,False,Thu Feb 14 14:15:55 +0000 2013,0,302058594780729344
7,WVDE Twitbot,All schools in #Mason Co on a 2-hr delay Fri 1/30/15 due to Inclement weather code green,,False,Fri Jan 30 10:26:16 +0000 2015,8,561108125298987008
2,WVDE Twitbot,All schools in #Mineral Co closed Mon 10/29/12 due to pending inclement weather code A,,False,Mon Oct 29 02:19:46 +0000 2012,8,262740478053724161
