X,Y,code,lat,lon,elevation,station_name,STATEFP,UNSDLEA,AFFGEOID,GEOID,district,LSAD,ALAND,AWATER
-81.45000,38.01670,USC00464755,38.01670,-81.45000,409.00000,WV KAYFORD,54,00600,9700000US5400600,5400600,Kanawha County School District,00,-1959751630,24056487
-77.88330,39.38330,USC00464763,39.38330,-77.88330,167.60000,WV KEARNEYSVILLE,54,00570,9700000US5400570,5400570,Jefferson County School District,00,543006593,5216623
-82.40000,37.83330,USC00464816,37.83330,-82.40000,189.00000,WV KERMIT,54,00900,9700000US5400900,5400900,Mingo County School District,00,1095914381,2190076
-78.98330,39.43330,USC00464836,39.43330,-78.98330,284.10000,WV KEYSER,54,00870,9700000US5400870,5400870,Mineral County School District,00,849173056,3502975
-79.00500,39.42060,USC00464840,39.42060,-79.00500,274.30000,WV KEYSER 2,54,00870,9700000US5400870,5400870,Mineral County School District,00,849173056,3502975
-81.30000,37.95000,USC00464884,37.95000,-81.30000,451.40000,WV KINGSTON,54,00300,9700000US5400300,5400300,Fayette County School District,00,1713494053,17519186
-79.68330,39.46670,USC00464897,39.46670,-79.68330,566.90000,WV KINGWOOD,54,01170,9700000US5401170,5401170,Preston County School District,00,1680406633,6681831
-79.00000,39.36670,USC00464941,39.36670,-79.00000,409.00000,WV KNOBLY MTN,54,00870,9700000US5400870,5400870,Mineral County School District,00,849173056,3502975
-81.58330,37.73330,USC00464956,37.73330,-81.58330,506.00000,WV KOPPERSTON,54,01650,9700000US5401650,5401650,Wyoming County School District,00,1293577262,6126986
-80.08560,38.63110,USC00464971,38.63110,-80.08560,981.50000,WV KUMBRABOW,54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-80.50000,39.28330,USC00464994,39.28330,-80.50000,338.90000,WV LAKE FLOYD,54,00510,9700000US5400510,5400510,Harrison County School District,00,1077454917,1320319
-79.85610,39.72030,USC00465002,39.72030,-79.85610,274.30000,WV LAKE LYNN,54,00930,9700000US5400930,5400930,Monongalia School District,00,932572492,15051916
-82.08330,38.95000,USC00465010,38.95000,-82.08330,189.00000,WV LAKIN,54,00780,9700000US5400780,5400780,Mason County School District,00,1115633279,36174541
-81.50000,39.10000,USC00465030,39.10000,-81.50000,-999.90000,WV LEACHTOWN,54,01620,9700000US5401620,5401620,Wood County School District,00,948609299,27211253
-80.40000,38.06670,USC00465045,38.06670,-80.40000,1293.00000,WV LEONARD,54,00390,9700000US5400390,5400390,Greenbrier County School District,00,-1654077674,12578200
-82.28780,38.56970,USC00465051,38.56970,-82.28780,175.30000,WV LESAGE 5,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
